epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1054.9,0.67159,0.55089,0.91061,0.95879,0.91413,0.95671,0.79527,0.72835,0.39788,0.90698,0.00033032,0.00033032,0.00033032
43,1079.46,0.6632,0.52775,0.9039,0.95606,0.92233,0.95418,0.80383,0.70652,0.39515,0.8918,0.000324815,0.000324815,0.000324815
44,1103.81,0.66013,0.55156,0.9051,0.95127,0.91985,0.95137,0.80076,0.70781,0.39835,0.89282,0.000319311,0.000319311,0.000319311
45,1128.5,0.64328,0.52282,0.89457,0.9086,0.89494,0.94916,0.80592,0.7052,0.39853,0.89543,0.000313806,0.000313806,0.000313806
46,1153.19,0.6447,0.52271,0.89622,0.92094,0.92449,0.96542,0.80591,0.69668,0.3899,0.89271,0.000308302,0.000308302,0.000308302
47,1178.11,0.64742,0.51106,0.89816,0.94974,0.91247,0.95447,0.79988,0.71062,0.38225,0.89671,0.000302798,0.000302798,0.000302798
48,1202.34,0.63284,0.50608,0.89559,0.94118,0.91401,0.95063,0.80505,0.68457,0.40342,0.88403,0.000297293,0.000297293,0.000297293
49,1226.83,0.62411,0.50203,0.8914,0.9567,0.90232,0.95916,0.81951,0.68708,0.37316,0.88296,0.000291789,0.000291789,0.000291789
50,1251.38,0.62184,0.49338,0.89136,0.95279,0.90755,0.9492,0.80907,0.69007,0.39096,0.88932,0.000286284,0.000286284,0.000286284
51,1276.23,0.6189,0.48941,0.88944,0.94492,0.94084,0.96262,0.82341,0.67449,0.37226,0.88608,0.00028078,0.00028078,0.00028078
52,1301.1,0.60107,0.49323,0.88572,0.95416,0.92239,0.95505,0.81135,0.68504,0.37418,0.88034,0.000275276,0.000275276,0.000275276
53,1327.12,0.62687,0.49552,0.8901,0.94283,0.93434,0.96214,0.81936,0.67724,0.36533,0.88135,0.000269771,0.000269771,0.000269771
54,1353.12,0.61097,0.48946,0.88718,0.92207,0.94468,0.96312,0.83136,0.66663,0.35138,0.87707,0.000264267,0.000264267,0.000264267
55,1377.71,0.60748,0.47376,0.88979,0.93414,0.95039,0.95328,0.81454,0.66715,0.38015,0.87772,0.000258762,0.000258762,0.000258762
56,1402.69,0.59472,0.47983,0.88605,0.95085,0.94634,0.9653,0.83534,0.6646,0.36739,0.88349,0.000253258,0.000253258,0.000253258
57,1427.4,0.58661,0.46866,0.88469,0.94732,0.92043,0.94509,0.8145,0.64575,0.36643,0.87532,0.000247754,0.000247754,0.000247754
58,1453.26,0.58535,0.44658,0.87885,0.94656,0.95185,0.96265,0.82159,0.67449,0.35513,0.89081,0.000242249,0.000242249,0.000242249
59,1478.45,0.58182,0.46172,0.88187,0.96482,0.93996,0.96156,0.81914,0.65711,0.36162,0.87909,0.000236745,0.000236745,0.000236745
60,1503.81,0.56572,0.44247,0.8733,0.96618,0.92492,0.95588,0.82188,0.65368,0.3585,0.87198,0.00023124,0.00023124,0.00023124
61,1528.7,0.56291,0.44012,0.86967,0.96063,0.9269,0.9514,0.81405,0.65312,0.35657,0.87403,0.000225736,0.000225736,0.000225736
